,wavelength,R,G,B
263,624,0.013152620450204383,-0.00044327941880181645,2.0066083851911353e-05
264,625,0.012739388144173035,-0.000464887818793826,2.0864599507773223e-05
265,626,0.012323294600706237,-0.0004822889035172384,2.1505674225705165e-05
266,627,0.011905965993827865,-0.0004958407063733081,2.1999410159967145e-05
267,628,0.01149076525975058,-0.0005060370973262635,2.2363817590972818e-05
268,629,0.011080985713524592,-0.0005133613935251263,2.26165148072458e-05
269,630,0.0106798510685051,-0.0005182863960865923,2.2774729617468248e-05
270,631,0.010349658514788196,-0.0005242216192977443,2.2987294612458112e-05
271,632,0.010025972098178643,-0.0005282781184029913,2.3127394424726005e-05
272,633,0.00970735556184702,-0.0005304786434270346,2.319421129123772e-05
273,634,0.009392323606832346,-0.0005308441171202285,2.3186843389291275e-05
274,635,0.009079436573710804,-0.0005293987062073681,2.3104526816863046e-05
275,636,0.008768544564758651,-0.0005262571578959532,2.295111424899622e-05
276,637,0.008460548496571286,-0.0005215895520086455,2.273365563763976e-05
277,638,0.008155578373430972,-0.0005155032153935991,2.2456185887712978e-05
278,639,0.007853721930345151,-0.0005081025379276793,2.2122610940506585e-05
279,640,0.007555104150985871,-0.0004994939267743838,2.173692365637318e-05
280,641,0.0072243744639463045,-0.0004874016851276391,2.119960448432748e-05
281,642,0.0069001926713173145,-0.00047443016980207564,2.0623910722255878e-05
282,643,0.006583119455641756,-0.00046069053897819745,2.0014652884385605e-05
283,644,0.006273674286906154,-0.0004462919544385925,1.9376554702291548e-05
284,645,0.005972400534896802,-0.0004313460509764757,1.8714447364600572e-05
285,646,0.005679445993502435,-0.00041593374816309653,1.8031341702596784e-05
286,647,0.005395018290846148,-0.0004001824599391219,1.7333247410702102e-05
287,648,0.005119724998603715,-0.0003842616131441154,1.662895712333654e-05
288,649,0.004854133564314416,-0.00036833642231800113,1.59270546200206e-05
289,650,0.004598823330987441,-0.0003525717487008717,1.5236081908799268e-05
290,651,0.004375286339187082,-0.0003387235402285951,1.463764439684058e-05
291,652,0.0041599671605551496,-0.00032503715930009967,1.404620000920842e-05
292,653,0.003952378494047505,-0.0003115080293928654,1.3461550983329034e-05
293,654,0.003752047284445076,-0.000298132085594662,1.2883521665283623e-05
294,655,0.003558484700625901,-0.0002849040576071378,1.2311884311440011e-05
295,656,0.003371544333991583,-0.0002718593529436574,1.174816903793445e-05
296,657,0.0031913286404163777,-0.0002590443921754426,1.1194381878696549e-05
297,658,0.0030177289798317066,-0.0002464728170646357,1.0651112355905221e-05
298,659,0.002850646217664699,-0.00023415859044344621,1.0118963866405583e-05
299,660,0.002689967503858302,-0.00022211410438571945,9.59847192795956e-06
300,661,0.0025415190513416617,-0.00021084722326053211,9.11158347288735e-06
301,662,0.0023986633326141963,-0.00019984259292920984,8.636027918118243e-06
302,663,0.002261473552020688,-0.00018914037139597056,8.173540665222563e-06
303,664,0.002130012585818655,-0.00017877961226066857,7.72580938982017e-06
304,665,0.0020043502590848424,-0.00016879969950301678,7.294536044560985e-06
305,666,0.0018843837411751832,-0.00015922148183884297,6.880621595491819e-06
306,667,0.0017701520713806788,-0.0001500548641925397,6.484494076977581e-06
307,668,0.0016619494796038749,-0.00014132704284275732,6.107328753693919e-06
308,669,0.0015600674033546377,-0.0001330652448664613,5.750302221297756e-06
309,670,0.0014648041647259784,-0.00012529683135589808,5.414596866705396e-06
310,671,0.0013661515929936218,-0.00011717138406332592,5.063462583971983e-06
311,672,0.001275042191562881,-0.00010963487005788356,4.737778544301664e-06
312,673,0.0011908376348466537,-0.00010264258932814234,4.435613076540453e-06
313,674,0.0011129163868747155,-9.615097254193843e-05,4.1550833708192035e-06
314,675,0.001040661540010907,-9.011653751761922e-05,3.8943103833381536e-06
315,676,0.0009738367857971765,-8.452773254434856e-05,3.6527949185227413e-06
316,677,0.0009119670701531779,-7.934514249343771e-05,3.4288336850998806e-06
317,678,0.000854099537649161,-7.448590437914266e-05,3.21884582875168e-06
318,679,0.0007993039257166935,-6.986904733625918e-05,3.019332261544466e-06
319,680,0.0007466636370266751,-6.541471712688962e-05,2.8268421496403998e-06
320,681,0.0006914225532289698,-6.0709027396236326e-05,2.6234897418525407e-06
321,682,0.0006384188774510761,-5.6177907931141695e-05,2.4276812372046767e-06
322,683,0.0005880552841517837,-5.185635999237185e-05,2.240929185773686e-06
323,684,0.0005407147248003359,-4.777797896385067e-05,2.0646853839152334e-06
324,685,0.0004967600840957411,-4.3974319499381686e-05,1.9003134394845973e-06
325,686,0.0004561869221099904,-4.044552776203917e-05,1.7478196689089312e-06
